Date,Open,High,Low,Close,Adj Close,Volume,Simple Return,Log Return,Volatility,SMA_1,SMA_4,SMA_8,EMA_1,EMA_4,EMA_8,MACD,Signal Line,Histogram,RSI,Middle Band,Upper Band,Lower Band
1984-07-01,6.0,6.375,5.0,5.75,4.569289684295654,901100,,,,5.75,,,5.75,5.75,5.75,0.0,0.0,0.0,,5.75,5.75,5.75
1984-10-01,5.75,7.75,5.5,6.0,4.7679548263549805,460100,0.04347826086956519,0.0425596144187959,,6.0,,,6.0,5.85,5.805555555555555,0.01994301994301928,0.003988603988603856,0.015954415954415425,100.0,5.875,6.125,5.625
1985-01-01,6.0,11.25,6.0,8.0,6.357273101806641,779400,0.33333333333333326,0.28768207245178085,,8.0,,,8.0,6.71,6.29320987654321,0.1948847817793684,0.04216783954675677,0.15271694223261165,100.0,6.583333333333333,8.597174328932429,4.569492337734237
1985-04-01,8.0,8.5,5.375,5.375,4.271292686462402,294200,-0.328125,-0.39768296766610944,,5.375,6.28125,,5.375,6.176,6.089163237311386,0.12032479710095956,0.05779923105759733,0.06252556604336224,46.15384615384615,6.28125,8.315142511909123,4.247357488090877
1985-07-01,5.375,5.375,3.0,3.0,2.3839774131774902,209900,-0.4418604651162791,-0.5831462853456169,,3.0,5.59375,,3.0,4.9056,5.402682517908856,-0.12892105752857397,0.020455173340363075,-0.14937623086893703,31.034482758620683,5.625,8.818743884534262,2.4312561154657377
1985-10-01,3.0,5.0,3.0,4.5,3.575965166091919,207100,0.5,0.4054651081081644,,4.5,5.21875,,4.5,4.74336,5.202086402817999,-0.20307184326363714,-0.024250229980436973,-0.17882161328320018,42.857142857142854,5.4375,8.4711652748779,2.403834725122101
1986-01-01,4.5,4.75,2.75,3.0,2.3839774131774902,171100,-0.33333333333333337,-0.40546510810816444,,3.0,3.96875,,3.0,4.046016,4.712733868858444,-0.37851109883084,-0.09510240375051758,-0.2834086950803224,36.58536585365854,5.089285714285714,8.375388175828128,1.8031832527433016
1986-04-01,3.0,3.5,2.25,2.75,2.1853129863739014,273500,-0.08333333333333337,-0.08701137698962981,,2.75,3.3125,4.796875,2.75,3.5276096,4.2765707868899,-0.5315930101859889,-0.18240052503761184,-0.3491924851483771,35.71428571428572,4.796875,8.238208090170145,1.3555419098298551
1986-07-01,2.75,3.0,1.75,2.0,1.5893182754516602,193600,-0.2727272727272727,-0.3184537311185346,,2.0,3.0625,4.328125,2.0,2.91656576,3.770666167581034,-0.7053000004478749,-0.28698042011966446,-0.4183195803282104,33.33333333333333,4.486111111111111,8.176271534536802,0.7959506876854188
1986-10-01,2.0,2.5,1.375,2.0,1.5893182754516602,217500,0.0,0.0,,2.0,2.4375,3.828125,2.0,2.549939456,3.3771847970074704,-0.8333576138958154,-0.3962558588748947,-0.43710175502092075,33.33333333333333,4.2375,8.042841640378693,0.4321583596213072
